สินค้าส่งออกสำคัญของไทยตามโครงสร้างสินค้าส่งออก,,,,,,,,,,,,
ฮ่องกง,,,,,,,,,,,,
,มูลค่า : ล้านบาท,,,,อัตราการขยายตัว(%),,,,สัดส่วน (%),,,
สินค้า,2559,2560,2560,2561,2559,2560,2560,2561,2559,2560,2560,2561
,,,(ม.ค.-ธ.ค.),(ม.ค.-ธ.ค.),,,(ม.ค.-ธ.ค.),(ม.ค.-ธ.ค.),,,(ม.ค.-ธ.ค.),(ม.ค.-ธ.ค.)
   1.1.12 พืชน้ำมัน,9.5,2.5,2.5,2.4,898.88,-73.61,-73.61,-4.19,0.00,0.00,0.00,0.00
    (1) ปาล์มน้ำมัน,,0.0,0.0,0.0,,,,30.36,,0.00,0.00,0.00
    (2) พืชน้ำมันอื่น ๆ,9.5,2.5,2.5,2.4,898.88,-73.67,-73.67,-4.27,0.00,0.00,0.00,0.00
   1.1.14 เมล็ดมะม่วงหิมพานต์,0.1,0.1,0.1,0.1,218.85,99.18,99.18,-49.22,0.00,0.00,0.00,0.00
   1.1.15 ธัญญพืช,1.1,1.0,1.0,0.7,-83.15,-10.89,-10.89,-21.94,0.00,0.00,0.00,0.00
    (1) ลูกเดือยทั้งเปลือก,,0.0,0.0,,,,,,,0.00,0.00,
    (2) รำและเศษจากธัญญพืช,0.4,0.4,0.4,0.1,-74.55,-17.57,-17.57,-77.12,0.00,0.00,0.00,0.00
    (3) ธัญญพืชอื่น ๆ,0.6,0.6,0.6,0.7,-81.61,-7.16,-7.16,12.14,0.00,0.00,0.00,0.00
   1.1.16 เมล็ด ผลและสปอร์ ชนิดที่ใช้ในการเพาะปลูก,13.9,15.4,15.4,14.4,-36.93,11.06,11.06,-6.37,0.00,0.00,0.00,0.00
   1.1.17 ครั่ง,,,,0.0,,,,,,,,0.00
   1.1.18 ฝ้าย,1.8,0.4,0.4,0.5,"1,351.99",-78.20,-78.20,34.99,0.00,0.00,0.00,0.00
   1.1.19 สินค้ากสิกรรมอื่น ๆ,62.0,52.7,52.7,64.5,23.94,-14.96,-14.96,22.39,0.02,0.01,0.01,0.02
  1.2 สินค้าประมง,"2,321.5","2,098.2","2,098.2","2,126.3",10.29,-9.62,-9.62,1.34,0.58,0.50,0.50,0.53
   1.2.1 กุ้ง,"1,718.7","1,542.9","1,542.9","1,540.2",16.07,-10.23,-10.23,-0.17,0.43,0.37,0.37,0.38
    (1) กุ้งสด แช่เย็น แช่แข็ง,319.8,277.6,277.6,194.4,-14.86,-13.19,-13.19,-29.97,0.08,0.07,0.07,0.05
     (1.1) กุ้งกุลาดำสด แช่เย็น แช่แข็ง,55.3,23.4,23.4,10.6,-57.93,-57.58,-57.58,-54.66,0.01,0.01,0.01,0.00
     (1.2) กุ้งก้ามกรามสด แช่เย็น แช่แข็ง,15.1,18.0,18.0,17.1,-31.40,19.36,19.36,-4.95,0.00,0.00,0.00,0.00
     (1.3) กุ้งอื่น ๆ สด แช่เย็น แช่แข็ง,249.5,236.2,236.2,166.7,12.23,-5.33,-5.33,-29.42,0.06,0.06,0.06,0.04
    (2) กุ้งแห้ง ใส่เกลือหรือแช่น้ำเกลือ รมควัน,203.9,,,0.0,6.66,,,,0.05,,,0.00
    (3) กุ้งต้มสุกแช่เย็น,,99.5,99.5,190.7,,,,91.67,,0.02,0.02,0.05
    (4) กุ้งอื่น ๆ,"1,195.0","1,165.8","1,165.8","1,155.1",30.75,-2.44,-2.44,-0.92,0.30,0.28,0.28,0.29
   1.2.2 ปลาหมึก,115.5,143.8,143.8,132.9,-17.24,24.46,24.46,-7.57,0.03,0.03,0.03,0.03
    (1) ปลาหมึก มีชีวิต สด แช่เย็น แช่แข็ง,70.8,84.8,84.8,91.3,-16.25,19.74,19.74,7.67,0.02,0.02,0.02,0.02
    (2) ปลาหมึก แห้ง ใส่เกลือหรือแช่น้ำเกลือ รมควัน                            ,44.7,59.0,59.0,41.6,-18.76,31.94,31.94,-29.46,0.01,0.01,0.01,0.01
   1.2.3 ปลา,390.9,334.0,334.0,356.4,4.46,-14.56,-14.56,6.71,0.10,0.08,0.08,0.09
    (1) เนื้อปลาสด แช่เย็น แช่แข็ง,80.2,64.3,64.3,77.4,6.27,-19.92,-19.92,20.38,0.02,0.02,0.02,0.02
    (2) ปลาสด แช่เย็น แช่แข็ง,23.1,40.3,40.3,68.2,-13.88,73.93,73.93,69.39,0.01,0.01,0.01,0.02
    (3) ปลาแห้งและส่วนต่าง ๆ แห้ง ใส่เกลือหรือรมควัน(เมตริกตัน),104.3,106.6,106.6,117.6,26.13,2.19,2.19,10.41,0.03,0.03,0.03,0.03
    (4) ปลามีชีวิต และพันธุ์ปลา,183.3,122.9,122.9,93.2,-3.13,-32.93,-32.93,-24.16,0.05,0.03,0.03,0.02
   1.2.4 สัตว์น้ำจำพวกครัสตาเซียและโมลลุสก์ อื่น ๆ,46.4,44.7,44.7,57.6,-28.97,-3.62,-3.62,28.84,0.01,0.01,0.01,0.01
    (1) ปู สด แช่เย็น แช่แข็ง นึ่งหรือต้ม,15.6,17.5,17.5,33.5,-41.82,12.21,12.21,91.30,0.00,0.00,0.00,0.01
    (2) หอย มีชีวิต สด แช่เย็น แช่แข็ง แห้ง ใส่เกลือหรือแช่น้ำเกลือ รมควัน ,22.1,24.9,24.9,22.3,-7.46,12.47,12.47,-10.11,0.01,0.01,0.01,0.01
    (3) สัตว์น้ำจำพวกครัสตาเซียและโมลลุสก์ อื่น ๆ อื่น ๆ  ,8.7,2.3,2.3,1.8,-40.53,-72.99,-72.99,-24.67,0.00,0.00,0.00,0.00
   1.2.5 แมงกะพรุน,,,,,,,,,,,,
   1.2.6 ตะพาบน้ำ,0.7,,,,-41.77,,,,0.00,,,
   1.2.7 กบ,44.9,28.4,28.4,33.7,5.33,-36.70,-36.70,18.74,0.01,0.01,0.01,0.01
   1.2.8  ประมงอื่น ๆ,4.4,4.4,4.4,5.5,273.45,-0.17,-0.17,25.15,0.00,0.00,0.00,0.00
  1.3 ปศุสัตว์,"2,655.5","2,886.2","2,886.2","3,212.5",-6.06,8.69,8.69,11.31,0.66,0.69,0.69,0.80
   1.3.1 ไก่,"1,779.2","2,100.5","2,100.5","1,961.4",13.58,18.06,18.06,-6.62,0.44,0.50,0.50,0.49
    (1) ไก่สดแช่เย็นแช่แข็ง,331.1,449.4,449.4,644.4,66.76,35.74,35.74,43.40,0.08,0.11,0.11,0.16
    (2) ไก่แปรรูป,"1,448.1","1,651.1","1,651.1","1,317.0",5.86,14.02,14.02,-20.23,0.36,0.40,0.40,0.33
   1.3.2 เป็ดสดแช่เย็นแช่แข็ง,37.4,33.5,33.5,25.0,64.00,-10.37,-10.37,-25.49,0.01,0.01,0.01,0.01
   1.3.3 สุกรสดแช่เย็นแช่แข็ง,64.7,63.8,63.8,87.8,1.44,-1.49,-1.49,37.77,0.02,0.02,0.02,0.02
   1.3.4 กระดูกสัตว์และขนสัตว์ปีก,11.7,24.1,24.1,15.5,-68.93,105.75,105.75,-35.67,0.00,0.01,0.01,0.00
   1.3.5 ไข่ไก่สด(พันฟอง),430.0,398.3,398.3,935.2,-37.86,-7.39,-7.39,134.83,0.11,0.10,0.10,0.23
   1.3.6 เนื้อและส่วนต่าง ๆ ของสัตว์ที่บริโภคได้,119.3,111.4,111.4,126.4,37.86,-6.67,-6.67,13.49,0.03,0.03,0.03,0.03
   1.3.7 สินค้าปศุสัตว์อื่น ๆ,213.2,154.7,154.7,61.1,-40.35,-27.42,-27.42,-60.48,0.05,0.04,0.04,0.02
 2. สินค้าอุตสาหกรรมการเกษตร,"8,053.3","8,026.1","8,026.1","7,893.6",3.86,-0.34,-0.34,-1.65,2.00,1.93,1.93,1.96
  2.1  อาหารทะเลกระป๋องและแปรรูป,"1,276.4","1,274.9","1,274.9","1,284.8",9.59,-0.12,-0.12,0.78,0.32,0.31,0.31,0.32
   2.1.1 อาหารทะเลกระป๋อง,354.2,541.7,541.7,512.1,9.71,52.94,52.94,-5.46,0.09,0.13,0.13,0.13
    (1)  ทูน่ากระป๋อง,225.9,209.0,209.0,188.3,10.50,-7.48,-7.48,-9.90,0.06,0.05,0.05,0.05
