สินค้าส่งออกสำคัญของไทยตามโครงสร้างสินค้าส่งออก,,,,,,,,,,,,
ไต้หวัน,,,,,,,,,,,,
,มูลค่า : ล้านบาท,,,,อัตราการขยายตัว(%),,,,สัดส่วน (%),,,
     (1.10) ผลไม้สดอื่น ๆ,1.3,3.3,3.3,3.2,-93.32,146.32,146.67,-2.70,0.00,0.00,0.00,0.00
    (2) ผลไม้แช่แข็ง,16.8,35.0,33.7,22.0,-62.96,107.95,120.06,-34.61,0.01,0.03,0.03,0.02
     (2.1) สับปะรดแช่เย็นจนแข็ง,0.0,0.6,0.6,,-99.65,"1,640.17","1,640.17",,0.00,0.00,0.00,
     (2.2) ทุเรียนแช่เย็นจนแข็ง,4.1,24.1,23.9,11.8,-72.66,488.43,778.11,-50.56,0.00,0.02,0.02,0.01
     (2.3) ลำไยแช่เย็นจนแข็ง,,0.0,0.0,1.7,,,,"3,708.00",,0.00,0.00,0.00
     (2.4) ผลไม้แช่เย็นจนแข็งอื่น ๆ,12.7,10.3,9.2,8.5,-37.41,-19.22,-27.13,-6.96,0.01,0.01,0.01,0.01
    (3) ผลไม้แห้ง,10.9,17.8,16.1,11.8,-56.48,62.77,51.11,-26.66,0.01,0.01,0.01,0.01
     (3.1) ลำไยแห้ง,0.3,9.1,8.1,2.8,-95.07,"2,725.25","2,954.20",-65.88,0.00,0.01,0.01,0.00
     (3.2) ผลไม้แห้งอื่น ๆ,10.6,8.7,8.0,9.1,-42.88,-18.30,-22.70,12.75,0.01,0.01,0.01,0.01
    (4) ผลไม้อื่น ๆ,80.1,71.2,70.5,63.8,14.10,-11.08,-7.89,-9.61,0.06,0.06,0.06,0.06
   1.1.6 ผักสด แช่เย็น แช่แข็งและแห้ง,521.4,603.9,557.6,507.4,5.82,15.81,16.15,-9.00,0.41,0.49,0.49,0.47
    (1) ผักสดหรือแช่เย็น,381.1,455.4,416.6,319.8,2.29,19.48,17.83,-23.25,0.30,0.37,0.37,0.30
     (1.1) หน่อไม้ฝรั่งสดหรือแช่เย็น,16.4,11.2,10.5,22.3,-9.72,-31.60,-32.48,113.17,0.01,0.01,0.01,0.02
     (1.2) หอมหัวใหญ่ หอมหัวเล็ก กระเทียม สดหรือแช่เย็น,7.6,2.2,2.2,40.6,-61.29,-70.67,-70.67,"1,723.65",0.01,0.00,0.00,0.04
     (1.3) พริกสดหรือแช่เย็น,,,,,,,,,,,,
     (1.4) ข้าวโพดอ่อนสดหรือแช่เย็น,17.9,18.7,17.0,30.2,-9.82,4.34,0.56,78.09,0.01,0.02,0.01,0.03
     (1.5) กระเจี๊ยบสดหรือแช่เย็น,0.3,4.3,3.7,22.5,-59.72,"1,259.18","1,061.40",506.24,0.00,0.00,0.00,0.02
     (1.6) เห็ดสดหรือแช่เย็น,0.2,,,,,,,,0.00,,,
     (1.7) ผักสดหรือแช่เย็นอื่น ๆ,338.7,418.9,383.2,204.2,7.81,23.67,22.40,-46.71,0.27,0.34,0.34,0.19
    (2) ผักแช่แข็ง,38.3,53.3,49.3,91.1,9.50,39.05,47.58,84.81,0.03,0.04,0.04,0.08
     (2.1) พืชผักตระกูลถั่ว แช่แข็ง,9.9,8.1,8.0,6.0,72.79,-18.37,-13.12,-25.32,0.01,0.01,0.01,0.01
     (2.2) ข้าวโพดหวานแช่แข็ง,21.2,38.1,35.1,45.0,2.69,79.81,100.27,28.18,0.02,0.03,0.03,0.04
     (2.3) กระเจี๊ยบแช่แข็ง,,0.2,0.2,2.3,,,,"1,096.68",,0.00,0.00,0.00
     (2.4) ผักต่าง ๆ ผสมกัน แช่แข็ง,,,,,,,,,,,,
     (2.5) ผักแช่แข็งอื่น ๆ,7.2,6.9,6.0,37.8,-10.26,-4.64,-9.99,534.95,0.01,0.01,0.01,0.04
    (3) ผักแห้ง,96.5,94.8,91.3,94.3,13.86,-1.78,3.97,3.30,0.08,0.08,0.08,0.09
    (4) ผักอื่น ๆ,5.5,0.4,0.4,2.3,"1,220.10",-92.28,-92.01,433.83,0.00,0.00,0.00,0.00
   1.1.7 เครื่องเทศและสมุนไพร,81.9,47.6,43.9,38.9,-3.01,-41.88,-42.53,-11.37,0.06,0.04,0.04,0.04
    (1) พริกไทย,2.0,5.4,5.4,3.0,217.48,175.90,836.07,-43.77,0.00,0.00,0.00,0.00
     (1.1) พริกไทยไม่บดหรือไม่ป่น,0.0,0.0,0.0,0.1,-79.89,26.43,26.43,257.14,0.00,0.00,0.00,0.00
     (1.2) พริกไทยบดหรือป่น,1.9,5.4,5.4,2.9,284.07,177.67,869.22,-45.38,0.00,0.00,0.00,0.00
    (2) มะขามเปียก,,,,,,,,,,,,
    (3) เครื่องเทศ,34.5,26.5,23.6,25.4,-3.04,-23.21,-25.65,7.64,0.03,0.02,0.02,0.02
"     (3.1) พริกในตระกูลแคปซีกัม, พิเมนตา (แห้ง/ป่น)",1.9,5.3,3.0,4.5,-49.85,183.28,73.75,48.89,0.00,0.00,0.00,0.00
     (3.2) วานิลา,,,,,,,,,,,,
     (3.3) กานพลู,,,,,,,,,,,,
     (3.4) อบเชยและดอกอบเชย,,,,,,,,,,,,
     (3.5) ลูกจันทน์เทศ ดอกจันทน์เทศและกระวาน,,1.4,1.2,,,,,,,0.00,0.00,
     (3.6) เมล็ดยี่หร่า โป๊ยกั๊ก เทียนข้าวเปลือก ฯลฯ,0.1,0.4,0.4,0.5,-86.83,411.25,366.62,35.79,0.00,0.00,0.00,0.00
     (3.7) ขิง หญ้าฝรั่น ขมิ้น ไทม์ ใบเบย์ หอมแขก และเครื่องเทศอื่น ๆ,32.5,19.3,19.0,20.4,4.20,-40.53,-36.43,7.31,0.03,0.02,0.02,0.02
    (4) สมุนไพร,26.3,12.3,11.7,9.1,-16.07,-53.28,-53.41,-21.93,0.02,0.01,0.01,0.01
    (5) สารสกัดจากสมุนไพร,16.1,1.5,1.4,1.0,893.83,-90.42,-91.48,-23.52,0.01,0.00,0.00,0.00
    (6) หมาก,3.1,1.9,1.9,0.3,-79.96,-37.85,-39.58,-83.06,0.00,0.00,0.00,0.00
   1.1.8 กล้วยไม้,26.8,28.8,25.4,20.3,-10.56,7.37,3.06,-20.13,0.02,0.02,0.02,0.02
    (1) ดอกกล้วยไม้,23.6,25.7,22.5,19.7,-7.97,8.93,3.89,-12.30,0.02,0.02,0.02,0.02
    (2) ต้นกล้วยไม้(พันต้น),3.2,3.1,2.9,0.5,-25.80,-4.04,-2.96,-81.16,0.00,0.00,0.00,0.00
   1.1.9 ยางพารา,"1,799.8","1,611.8","1,453.2","1,577.6",-24.81,-10.45,-12.57,8.57,1.41,1.30,1.27,1.47
    (1) ยางแผ่น,"1,194.5","1,069.1",962.9,"1,163.8",-23.13,-10.50,-12.66,20.86,0.94,0.86,0.84,1.08
     (1.1) ยางแผ่นรมควัน ชั้นที่ 1,57.3,62.5,58.4,41.8,-20.90,9.25,5.78,-28.51,0.04,0.05,0.05,0.04
     (1.2) ยางแผ่นรมควัน ชั้นที่ 2,,,,,,,,,,,,
     (1.3) ยางแผ่นรมควัน ชั้นที่ 3,"1,080.9",960.7,864.3,"1,075.6",-22.58,-11.12,-13.20,24.44,0.85,0.77,0.76,1.00
     (1.4) ยางแผ่นรมควัน ชั้นที่ 4,17.6,13.3,10.6,13.1,-34.34,-24.24,-36.11,23.84,0.01,0.01,0.01,0.01
     (1.5) ยางแผ่นรมควัน ชั้นที่ 5,,,,,,,,,,,,
     (1.6) ยางแผ่นผึ่งแห้ง,38.8,32.6,29.6,33.3,-33.81,-16.19,-15.50,12.59,0.03,0.03,0.03,0.03
     (1.7) ยางแผ่นไม่รมควัน ยางแผ่นดิบ,,,,,,,,,,,,
    (2) ยางแท่ง,359.1,325.4,295.9,209.5,-32.82,-9.40,-11.65,-29.19,0.28,0.26,0.26,0.20
     (2.1) ยางธรรมชาติที่กำหนดไว้ในทางเทคนิค,250.4,249.9,224.5,188.3,-25.59,-0.19,-3.92,-16.12,0.20,0.20,0.20,0.18
     (2.2) ยางแท่งชั้น 5,,,,,,,,,,,,
     (2.3) ทีทีอาร์ เอศเอ็มอาร์ ไอเอสอาร์ เอสเอสอาร์ ไดแน็ท ฯลฯ,,,,,,,,,,,,
     (2.4) ยางแท่งอื่น ๆ,108.7,75.4,71.5,21.3,-45.10,-30.63,-29.47,-70.26,0.09,0.06,0.06,0.02
    (3) น้ำยางข้น,185.7,154.1,138.4,135.1,-19.47,-17.02,-17.64,-2.36,0.15,0.12,0.12,0.13
    (4) ยางพาราอื่น ๆ,60.4,63.2,55.9,69.3,-18.88,4.67,-1.26,23.79,0.05,0.05,0.05,0.06
     (4.2) ในลักษณะขั้นปฐม,60.3,63.2,55.9,69.2,-18.49,4.86,-1.07,23.75,0.05,0.05,0.05,0.06
     (4.3) ยางเครฟ,,,,0.0,,,,,,,,0.00
     (4.4) อื่น ๆ,0.1,,,0.0,-77.59,,,,0.00,,,0.00
   1.1.10 กาแฟ,3.0,4.2,4.0,3.1,-31.29,41.93,84.34,-23.74,0.00,0.00,0.00,0.00
    (1) กาแฟดิบ,2.1,3.4,3.2,2.2,-28.80,59.50,80.41,-30.40,0.00,0.00,0.00,0.00
    (2) กาแฟคั่ว,0.9,0.9,0.9,0.9,-36.59,0.00,100.00,0.16,0.00,0.00,0.00,0.00
   1.1.11 ใบยาสูบ,,,,,,,,,,,,
    (1) พันธุ์เวอร์จิเนีย,,,,,,,,,,,,
    (2) พันธุ์เบอร์เลย์,,,,,,,,,,,,
    (3) พันธุ์โอเรียนตอล,,,,,,,,,,,,
    (4) เศษใบยาสูบและอื่นๆ,,,,,,,,,,,,
   1.1.12 พืชน้ำมัน,156.5,142.2,132.0,132.1,-8.51,-9.15,-14.47,0.08,0.12,0.11,0.12,0.12
    (1) ปาล์มน้ำมัน,,,,,,,,,,,,
    (2) พืชน้ำมันอื่น ๆ,156.5,142.2,132.0,132.1,-8.51,-9.15,-14.47,0.08,0.12,0.11,0.12,0.12
   1.1.14 เมล็ดมะม่วงหิมพานต์,,0.0,0.0,0.0,,,,"1,550.00",,0.00,0.00,0.00
   1.1.15 ธัญญพืช,21.6,30.0,24.7,12.3,-39.00,39.06,34.91,-50.36,0.02,0.02,0.02,0.01
    (1) ลูกเดือยทั้งเปลือก,0.3,0.5,0.5,,-97.34,78.67,78.67,,0.00,0.00,0.00,
    (2) รำและเศษจากธัญญพืช,,,,,,,,,,,,
    (3) ธัญญพืชอื่น ๆ,21.3,29.5,24.2,12.3,-12.06,38.51,34.19,-49.27,0.02,0.02,0.02,0.01
   1.1.16 เมล็ด ผลและสปอร์ ชนิดที่ใช้ในการเพาะปลูก,145.4,150.1,132.7,96.5,55.84,3.21,-8.74,-27.29,0.11,0.12,0.12,0.09
   1.1.17 ครั่ง,,,,,,,,,,,,
   1.1.18 ฝ้าย,2.4,1.1,1.1,0.0,-45.31,-53.70,-53.70,-99.99,0.00,0.00,0.00,0.00
   1.1.19 สินค้ากสิกรรมอื่น ๆ,110.7,65.4,57.7,68.8,-34.51,-40.96,-44.54,19.08,0.09,0.05,0.05,0.06
  1.2 สินค้าประมง,"2,297.1","1,855.3","1,590.5","1,751.8",-8.72,-19.23,-22.40,10.14,1.80,1.49,1.39,1.63
   1.2.1 กุ้ง,"1,709.9","1,288.0","1,091.2","1,234.4",-9.34,-24.68,-28.66,13.12,1.34,1.04,0.96,1.15
    (1) กุ้งสด แช่เย็น แช่แข็ง,"1,113.5",884.0,743.9,"1,025.2",-28.71,-20.61,-23.25,37.81,0.87,0.71,0.65,0.96
     (1.1) กุ้งกุลาดำสด แช่เย็น แช่แข็ง,50.3,39.5,33.3,53.2,-21.06,-21.49,-25.88,59.49,0.04,0.03,0.03,0.05
     (1.2) กุ้งก้ามกรามสด แช่เย็น แช่แข็ง,0.4,,,0.1,-75.58,,,,0.00,,,0.00
     (1.3) กุ้งอื่น ๆ สด แช่เย็น แช่แข็ง,"1,062.8",844.5,710.6,972.0,-28.99,-20.54,-23.08,36.78,0.83,0.68,0.62,0.91
    (2) กุ้งแห้ง ใส่เกลือหรือแช่น้ำเกลือ รมควัน,0.0,0.0,0.0,,87.27,354.37,354.37,,0.00,0.00,0.00,
    (3) กุ้งต้มสุกแช่เย็น,593.9,396.3,341.2,203.7,83.45,-33.28,-38.84,-40.29,0.47,0.32,0.30,0.19
    (4) กุ้งอื่น ๆ,2.5,7.7,6.1,5.4,816.24,205.33,141.42,-10.34,0.00,0.01,0.01,0.01
   1.2.2 ปลาหมึก,157.3,161.4,148.7,124.0,-13.07,2.56,6.25,-16.60,0.12,0.13,0.13,0.12
    (1) ปลาหมึก มีชีวิต สด แช่เย็น แช่แข็ง,151.7,153.7,141.9,116.2,-15.90,1.30,5.10,-18.10,0.12,0.12,0.12,0.11
    (2) ปลาหมึก แห้ง ใส่เกลือหรือแช่น้ำเกลือ รมควัน                            ,5.6,7.6,6.8,7.8,927.91,36.77,37.42,14.46,0.00,0.01,0.01,0.01
   1.2.3 ปลา,270.7,292.9,253.0,291.8,-10.04,8.18,2.12,15.34,0.21,0.24,0.22,0.27
    (1) เนื้อปลาสด แช่เย็น แช่แข็ง,114.1,132.5,118.1,171.3,-16.28,16.13,7.69,44.95,0.09,0.11,0.10,0.16
    (2) ปลาสด แช่เย็น แช่แข็ง,84.8,73.1,57.6,71.4,-25.66,-13.87,-24.15,23.97,0.07,0.06,0.05,0.07
    (3) ปลาแห้งและส่วนต่าง ๆ แห้ง ใส่เกลือหรือรมควัน(เมตริกตัน),10.0,22.0,16.0,19.1,17.12,119.32,79.58,19.91,0.01,0.02,0.01,0.02
    (4) ปลามีชีวิต และพันธุ์ปลา,61.8,65.3,61.3,30.0,47.11,5.77,15.17,-51.04,0.05,0.05,0.05,0.03
   1.2.4 สัตว์น้ำจำพวกครัสตาเซียและโมลลุสก์ อื่น ๆ,145.5,87.4,72.8,91.7,42.32,-39.94,-40.80,25.89,0.11,0.07,0.06,0.09
    (1) ปู สด แช่เย็น แช่แข็ง นึ่งหรือต้ม,139.0,81.7,68.0,86.4,58.22,-41.24,-42.52,27.14,0.11,0.07,0.06,0.08
    (2) หอย มีชีวิต สด แช่เย็น แช่แข็ง แห้ง ใส่เกลือหรือแช่น้ำเกลือ รมควัน ,1.0,0.8,0.8,2.4,-90.23,-17.40,-22.27,211.13,0.00,0.00,0.00,0.00
    (3) สัตว์น้ำจำพวกครัสตาเซียและโมลลุสก์ อื่น ๆ อื่น ๆ  ,5.4,4.9,4.1,2.8,41.83,-10.96,8.55,-30.25,0.00,0.00,0.00,0.00
   1.2.5 แมงกะพรุน,11.4,25.2,24.2,9.2,-73.80,120.04,234.78,-61.80,0.01,0.02,0.02,0.01
   1.2.6 ตะพาบน้ำ,0.4,,,,,,,,0.00,,,
   1.2.7 กบ,,,,,,,,,,,,
   1.2.8  ประมงอื่น ๆ,1.7,0.5,0.5,0.6,-36.91,-68.86,-69.94,20.69,0.00,0.00,0.00,0.00
  1.3 ปศุสัตว์,190.8,264.8,249.0,277.6,-48.86,38.76,31.58,11.46,0.15,0.21,0.22,0.26
   1.3.1 ไก่,0.5,0.2,,0.1,,-65.78,,,0.00,0.00,,0.00
    (1) ไก่สดแช่เย็นแช่แข็ง,0.5,0.2,,,,-65.78,,,0.00,0.00,,
    (2) ไก่แปรรูป,,,,0.1,,,,,,,,0.00
   1.3.2 เป็ดสดแช่เย็นแช่แข็ง,,,,,,,,,,,,
   1.3.3 สุกรสดแช่เย็นแช่แข็ง,,,,,,,,,,,,
   1.3.4 กระดูกสัตว์และขนสัตว์ปีก,27.4,55.7,42.6,77.1,-53.36,103.03,55.18,81.22,0.02,0.04,0.04,0.07
   1.3.5 ไข่ไก่สด(พันฟอง),,,,,,,,,,,,
   1.3.6 เนื้อและส่วนต่าง ๆ ของสัตว์ที่บริโภคได้,0.2,0.3,0.1,0.2,-60.33,81.20,-39.93,80.32,0.00,0.00,0.00,0.00
   1.3.7 สินค้าปศุสัตว์อื่น ๆ,162.7,208.6,206.4,200.2,-48.17,28.22,28.09,-3.00,0.13,0.17,0.18,0.19
 2. สินค้าอุตสาหกรรมการเกษตร,"15,496.1","15,517.4","14,338.3","9,937.2",-26.37,0.14,-0.86,-30.70,12.17,12.50,12.57,9.26
  2.1  อาหารทะเลกระป๋องและแปรรูป,"1,127.3","1,011.1",888.3,877.2,13.02,-10.31,-11.81,-1.25,0.89,0.81,0.78,0.82
   2.1.1 อาหารทะเลกระป๋อง,639.3,546.3,493.0,503.7,23.10,-14.56,-15.34,2.17,0.50,0.44,0.43,0.47
    (1)  ทูน่ากระป๋อง,208.0,190.2,168.7,207.5,-5.90,-8.56,-12.43,22.97,0.16,0.15,0.15,0.19
    (2)  ซาร์ดีนกระป๋อง,,0.7,0.7,0.1,,,,-86.49,,0.00,0.00,0.00
    (3)  ปูกระป๋อง,10.8,7.7,6.3,10.4,11.65,-28.88,-35.11,66.43,0.01,0.01,0.01,0.01
    (4)  กุ้งกระป๋อง,328.7,250.9,232.3,194.5,51.48,-23.68,-21.63,-16.24,0.26,0.20,0.20,0.18
    (5) หอยลายกระป๋อง(เมตริกตัน),,,,,,,,,,,,
    (6) ปลาหมึกกระป๋อง,1.9,1.0,1.0,0.9,523.00,-45.17,-43.68,-12.83,0.00,0.00,0.00,0.00
    (7) อาหารทะเลกระป๋องอื่น ๆ,89.8,95.7,84.0,90.2,26.85,6.50,2.67,7.48,0.07,0.08,0.07,0.08
   2.1.2 อาหารทะเลแปรรูป,488.0,464.8,395.3,373.4,2.07,-4.75,-6.98,-5.52,0.38,0.37,0.35,0.35
    (1) กุ้งแปรรูป,76.7,131.8,120.1,100.4,-21.19,71.80,78.56,-16.44,0.06,0.11,0.11,0.09
    (2) ปลาหมึกแปรรูป,55.5,47.5,37.4,30.4,574.48,-14.29,-17.81,-18.84,0.04,0.04,0.03,0.03
    (3) ปูแปรรูป,3.1,2.0,1.9,0.0,-52.01,-37.31,-38.29,-98.44,0.00,0.00,0.00,0.00
    (4) ปลาแปรรูป,349.7,282.3,235.1,242.2,13.28,-19.25,-23.18,3.04,0.27,0.23,0.21,0.23
     (4.1) ปลาทูน่า แปรรูป,0.3,,,0.0,-65.44,,,,0.00,,,0.00
     (4.2) ปลาอื่น ๆ แปรรูป,349.4,282.3,235.1,242.2,13.49,-19.19,-23.11,3.03,0.27,0.23,0.21,0.23
    (5) สัตว์น้ำประเภทครัสตาเซีย แปรรูป,0.1,,,,-84.28,,,,0.00,,,
    (6) หอยลาย แปรรูป,0.2,0.1,0.0,0.0,-92.38,-59.90,-93.21,0.00,0.00,0.00,0.00,0.00
    (7)  อาหารทะเลแปรรูปอื่น ๆ,2.7,1.1,0.7,0.4,-95.04,-59.54,-74.69,-40.57,0.00,0.00,0.00,0.00
  2.2 น้ำตาลทรายและกากน้ำตาล,"7,349.3","5,123.9","4,891.9","2,554.7",-45.02,-30.28,-31.11,-47.78,5.77,4.13,4.29,2.38
   2.2.1 น้ำตาลทราย,"7,348.7","5,102.9","4,870.9","2,554.4",-45.02,-30.56,-31.40,-47.56,5.77,4.11,4.27,2.38
    (1) น้ำตาลทรายดิบ,"1,681.3","1,414.8","1,271.9",763.0,297.08,-15.85,-22.65,-40.01,1.32,1.14,1.12,0.71
    (2) น้ำตาลทรายขาว,"5,667.4","3,688.1","3,599.0","1,791.5",-56.21,-34.92,-34.04,-50.22,4.45,2.97,3.16,1.67
    (3) น้ำตาลอื่น ๆ(เมตริกตัน),,,,,,,,,,,,
   2.2.2 กากน้ำตาล,0.7,21.0,21.0,0.3,24.67,"3,117.34","3,117.34",-98.72,0.00,0.02,0.02,0.00
  2.3 ผลไม้กระป๋องและแปรรูป,937.6,903.9,817.9,871.9,-7.84,-3.60,-5.32,6.61,0.74,0.73,0.72,0.81
   2.3.1 ผลไม้กระป๋อง,129.6,85.8,76.3,119.4,-28.83,-33.79,-37.91,56.49,0.10,0.07,0.07,0.11
