สินค้าส่งออกสำคัญของไทยตามโครงสร้างสินค้าส่งออก,,,,,,,,,,,,
เมียนม่า,,,,,,,,,,,,
,มูลค่า : ล้านบาท,,,,อัตราการขยายตัว(%),,,,สัดส่วน (%),,,
สินค้า,2559,2560,2560,2561,2559,2560,2560,2561,2559,2560,2560,2561
,,,(ม.ค.-ธ.ค.),(ม.ค.-ธ.ค.),,,(ม.ค.-ธ.ค.),(ม.ค.-ธ.ค.),,,(ม.ค.-ธ.ค.),(ม.ค.-ธ.ค.)
     (3.4) อบเชยและดอกอบเชย,0.2,0.1,0.1,,-53.96,-47.22,-47.22,,0.00,0.00,0.00,
     (3.5) ลูกจันทน์เทศ ดอกจันทน์เทศและกระวาน,0.0,,,,,,,,0.00,,,
     (3.6) เมล็ดยี่หร่า โป๊ยกั๊ก เทียนข้าวเปลือก ฯลฯ,0.5,,,0.2,,,,,0.00,,,0.00
     (3.7) ขิง หญ้าฝรั่น ขมิ้น ไทม์ ใบเบย์ หอมแขก และเครื่องเทศอื่น ๆ,0.8,0.5,0.5,1.4,-0.76,-32.44,-32.44,172.65,0.00,0.00,0.00,0.00
    (4) สมุนไพร,0.1,0.0,0.0,0.1,-95.87,-53.39,-53.39,212.94,0.00,0.00,0.00,0.00
    (5) สารสกัดจากสมุนไพร,88.7,95.8,95.8,135.8,-2.09,7.98,7.98,41.82,0.06,0.07,0.07,0.09
    (6) หมาก,705.9,795.9,795.9,"1,434.8",30.62,12.74,12.74,80.28,0.48,0.54,0.54,0.97
   1.1.8 กล้วยไม้,0.1,,,0.1,-78.10,,,,0.00,,,0.00
    (1) ดอกกล้วยไม้,0.1,,,,21.74,,,,0.00,,,
    (2) ต้นกล้วยไม้(พันต้น),,,,0.1,,,,,,,,0.00
   1.1.9 ยางพารา,310.2,418.3,418.3,367.3,"15,226.01",34.87,34.87,-12.19,0.21,0.29,0.29,0.25
    (1) ยางแผ่น,117.5,72.3,72.3,26.8,"117,449,900.00",-38.46,-38.46,-62.94,0.08,0.05,0.05,0.02
     (1.1) ยางแผ่นรมควัน ชั้นที่ 1,0.0,,,,-100.00,,,,0.00,,,
     (1.2) ยางแผ่นรมควัน ชั้นที่ 2,,,,,,,,,,,,
     (1.3) ยางแผ่นรมควัน ชั้นที่ 3,117.5,72.3,72.3,26.8,,-38.46,-38.46,-62.94,0.08,0.05,0.05,0.02
     (1.4) ยางแผ่นรมควัน ชั้นที่ 4,,,,,,,,,,,,
     (1.5) ยางแผ่นรมควัน ชั้นที่ 5,,,,,,,,,,,,
     (1.6) ยางแผ่นผึ่งแห้ง,,,,,,,,,,,,
     (1.7) ยางแผ่นไม่รมควัน ยางแผ่นดิบ,,,,,,,,,,,,
    (2) ยางแท่ง,167.7,59.9,59.9,7.7,,-64.29,-64.29,-87.17,0.11,0.04,0.04,0.01
     (2.1) ยางธรรมชาติที่กำหนดไว้ในทางเทคนิค,84.2,21.5,21.5,0.6,,-74.52,-74.52,-97.18,0.06,0.01,0.01,0.00
     (2.2) ยางแท่งชั้น 5,,,,,,,,,,,,
